SKU,PHOTO,COLECCIÓN,CATEGORÍA,PROPIETARIO,EAN,NOMBRE COMERCIAL,PRODUCTO,COSTE,PVP,FECHA ESTIMADA DE LLEGADA,CANTIDAD PRIMERA LLEGADA,CANTIDAD TOTAL
FL-171,,BLOSSOM,FLOTADORES / HINCHABLES,PATRICIA,8435797602694,PRIM,DONUT,"2,33 €","15,00 €",10/3/2026,250,500
FL-172,,BLOSSOM,FLOTADORES / HINCHABLES,PATRICIA,8435797602700,WAVY,WAVY DONUT,"2,33 €","15,00 €",10/3/2026,250,500
FL-173,,BLOSSOM,FLOTADORES / HINCHABLES,PATRICIA,8435797602717,PINKY,BALL,"1,49 €","9,00 €",10/3/2026,250,500
FL-174,,BLOSSOM,FLOTADORES / HINCHABLES,PATRICIA,8435797602724,LEONOR,BABY SEAT,"4,39 €","25,00 €",31/3/2026,250,500
FL-175,,BLOSSOM,FLOTADORES / HINCHABLES,PATRICIA,8435797602731,PETUNIA,MINNI POOL,"9,93 €","49,00 €",10/3/2026,250,500
FL-177,,BLOSSOM,FLOTADORES / HINCHABLES,PATRICIA,8435797602755,DALIA,SPRINKLE MAT,"3,23 €","19,00 €",10/3/2026,250,500
FL-178,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602762,BRUNO,DONUT,"2,33 €","15,00 €",10/3/2026,250,500
FL-179,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602779,SKIPPER,BALL,"1,49 €","9,00 €",10/3/2026,250,500
FL-180,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602786,CAVE,BABY SEAT,"4,39 €","25,00 €",31/3/2026,250,500
FL-181,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602793,RAYLEE,BABY SEAT,"4,39 €","29,00 €",31/3/2026,250,500
FL-182,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602809,LAGUNA,MINNI POOL,"9,93 €","49,00 €",30/3/2026,250,500
FL-183,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602816,NESS,DOUBLE POOL,"21,88 €","89,00 €",30/3/2026,250,500
FL-184,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602823,SPLASH,FLOAT,"6,67 €","29,00 €",31/3/2026,250,500
FL-185,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602830,SHELLDON,FLOAT,"9,92 €","49,00 €",15/5/2026,250,500
FL-186,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602847,NEMI,FLOAT,"6,18 €","25,00 €",31/3/2026,250,500
FL-187,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602854,BLUF,FLOAT,"5,41 €","29,00 €",10/3/2026,250,500
FL-188,,OCEAN HUGS,FLOTADORES / HINCHABLES,PATRICIA,8435797602861,HANK,SPRINKLE,"7,90 €","35,00 €",15/5/2026,250,500
FL-189,,BERRY CREAMLAND,FLOTADORES / HINCHABLES,PATRICIA,8435797602878,TWISTY,DONUT,"2,33 €","15,00 €",10/3/2026,250,500
FL-190,,BERRY CREAMLAND,FLOTADORES / HINCHABLES,PATRICIA,8435797602885,GLAZE,DONUT,"2,33 €","15,00 €",10/3/2026,250,500
FL-191,,BERRY CREAMLAND,FLOTADORES / HINCHABLES,PATRICIA,8435797602892,LOVEY,HEART DONUT,"2,54 €","15,00 €",10/3/2026,250,500
FL-192,,BERRY CREAMLAND,FLOTADORES / HINCHABLES,PATRICIA,8435797602908,POOLIE,POOL,"22,07 €","99,00 €",15/5/2026,250,500
FL-193,,BERRY CREAMLAND,FLOTADORES / HINCHABLES,PATRICIA,8435797602915,SCOOP,FLOAT,"5,75 €","25,00 €",31/3/2026,250,500
FL-194,,BERRY CREAMLAND,FLOTADORES / HINCHABLES,PATRICIA,8435797602922,SLIPPY,SLIDE,"40,36 €","139,00 €",30/4/2026,250,250
FL-195,,BERRY CREAMLAND,FLOTADORES / HINCHABLES,PATRICIA,8435797602939,SUNDAE,FLOAT STORE,"121,49 €","349,00 €",15/5/2026,150,150
FL-197,,BERRY CREAMLAND,FLOTADORES / HINCHABLES,PATRICIA,8435797602953,HOOPY,FLOAT TOY,"7,21 €","35,00 €",30/4/2026,250,500
FL-199,,SPACE AGE,FLOTADORES / HINCHABLES,PATRICIA,8435797602977,ROCKY,DONUT,"2,33 €","15,00 €",10/3/2026,250,500
FL-200,,SPACE AGE,FLOTADORES / HINCHABLES,PATRICIA,8435797602984,RINGO,POOL,"22,07 €","89,00 €",15/5/2026,250,500
FL-201,,SPACE AGE,FLOTADORES / HINCHABLES,PATRICIA,8435797602991,ZOOMER,BALL,"3,12 €","15,00 €",10/3/2026,250,500
FL-202,,SPACE AGE,FLOTADORES / HINCHABLES,PATRICIA,8435797603004,NUNKI,FLOAT,"2,63 €","15,00 €",15/5/2026,250,500
FL-203,,SPACE AGE,FLOTADORES / HINCHABLES,PATRICIA,8435797603011,TITANIS,FLOAT,"9,31 €","39,00 €",31/3/2026,250,500
FL-204,,SPACE AGE,FLOTADORES / HINCHABLES,PATRICIA,8435797603028,NYXAR,GIANT FLOAT,"10,24 €","49,00 €",15/5/2026,250,500
FL-205,,SPACE AGE,FLOTADORES / HINCHABLES,PATRICIA,8435797603035,TURBO,SLIDE,"40,36 €","139,00 €",30/4/2026,250,500
FL-206,,SPACE AGE,FLOTADORES / HINCHABLES,PATRICIA,8435797603042,AURELIS,GIANT ROCKER,"25,23 €","99,00 €",30/3/2026,250,500
FL-207,,SPACE AGE,FLOTADORES / HINCHABLES,PATRICIA,8435797603059,ARIANE,SPRINKLE,"7,90 €","35,00 €",15/5/2026,250,500
